rank,score,title,namespace,assembly,url
401,188,Settings Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/9aa29bb7-d720-8c97-0ccb-e3e6046c545c.htm
402,188,TessellatedShapeBuilder Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/a144b0e3-c997-eac1-5c00-51c56d9e66f2.htm
403,188,WallType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/aa685433-b426-5e4f-bee1-e3487bb59518.htm
404,188,FamilyInstanceReferenceType Enumeration,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/ab424c61-4b80-9dcd-3f9a-7b35fa670edf.htm
405,188,ExportFontTable Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/b3b4f237-f7f3-ced4-be3d-721f7ac05832.htm
406,188,APIObject Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/beb86ef5-39ad-3f0d-0cd9-0c929387a2bb.htm
407,188,DirectShape Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/bfbd137b-c2c2-71bb-6f4a-992d0dcf6ea8.htm
408,188,RepeatingReferenceSource Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/c1a3887e-0272-7dcb-bed3-85c807ec39a0.htm
409,188,Group Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/ca54af3c-52d8-0aed-cd22-440ec2584b89.htm
410,188,HermiteFace Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/cc020c7b-e36a-7e30-c227-28dbbd520b2d.htm
411,188,ShapeImporter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/d6120e08-f260-577d-b6cf-3fe5b042a54e.htm
412,188,TransmissionData Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/d78d1e9c-1cee-1336-88d5-b605dacd077d.htm
413,188,RouteAnalysisSettings Class,Autodesk.Revit.DB.Analysis,RevitAPI,https://www.revitapidocs.com/2024/e6742b6a-9c35-5344-736b-7bf9af6f4254.htm
414,188,ExportLayerTable Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/e68ce1c7-a922-d1b7-53bb-f832a4bad273.htm
415,187,SpatialFieldManager Class,Autodesk.Revit.DB.Analysis,RevitAPI,https://www.revitapidocs.com/2024/0a6d155e-6ef1-7215-f8f1-c1d8203797ee.htm
416,187,ITransientElementMaker Interface,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/0d213d8b-eace-f2ff-bd02-3bbd948a6dec.htm
417,187,SolidSolidCutUtils Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f1a2d176-2ab6-fa4c-293e-970c5866e87c.htm
418,187,TypeBinding Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f5066ef5-fa12-4cd2-ad0c-ca72ab21e479.htm
419,187,BuiltInParameter Enumeration,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/fb011c91-be7e-f737-28c7-3f1e1917a0e0.htm
420,187,ReferenceWithContext Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/fccc2688-a00f-9e3a-26bf-f6d04a58c56c.htm
421,187,RuledFace Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1a973af7-5f14-26b4-25e8-af69fc6f0901.htm
422,187,WallFoundation Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/29a6e040-a36e-2a0c-5339-c69aa7776301.htm
423,187,RevitLinkOperations Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/29f57c72-dfdf-4d24-5bb9-92740c9f7beb.htm
424,187,CurveByPoints Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/2df7ab39-1ac0-5803-79fa-b23a959bf8f2.htm
425,187,RoomFilter Class,Autodesk.Revit.DB.Architecture,RevitAPI,https://www.revitapidocs.com/2024/356881b1-5ee4-621a-0379-965c3e6f6dcf.htm
426,187,MEPCurve Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/38714847-0f40-7021-aa79-2884c3a02ce2.htm
427,187,ScheduleField Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/3d6b0eb5-ed36-278d-a5df-38b6d600e876.htm
428,187,Curve Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/400cc9b6-9ff7-de85-6fd8-c20002209d25.htm
429,187,ScheduleDefinition Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/420696e3-f3ec-1a1d-1205-36a8119d81e5.htm
430,187,ConicalFace Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/62813f17-d82f-7898-d3d9-9656392eadd6.htm
431,187,EnergyDataSettings Class,Autodesk.Revit.DB.Analysis,RevitAPI,https://www.revitapidocs.com/2024/63628109-daa0-e5b2-3dfd-153179e54816.htm
432,187,FillGrid Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/6dfc3e2f-c869-d06e-876e-49c4007f7e59.htm
433,187,LinkLoadContent Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/72ac893d-d76a-2606-6bab-3d180b552610.htm
434,187,AssetProperty Class,Autodesk.Revit.DB.Visual,RevitAPI,https://www.revitapidocs.com/2024/7be89499-d011-ab43-4715-0ee6f9335970.htm
435,187,MEPCurveType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/97c98bd6-0966-5b0c-6f75-4c34f16adce1.htm
436,187,BuiltInParameterGroup Enumeration,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/9942b791-2892-0658-303e-abf99675c5a6.htm
437,187,BoundarySegment Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/9a8fc43c-7a89-b6b4-e8ad-3e1e331ac153.htm
438,187,AreaFilter Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/a13bb51e-5370-99ed-d212-bdd60297393d.htm
439,187,BarTypeDiameterOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/a4f6aef6-f961-7b77-7c4b-6248193c258a.htm
440,187,Workset Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/aa8f7f05-16c7-2fbf-5004-d819a1fd0b6d.htm
441,187,RelinquishOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/af30374c-7e99-d52e-f648-c5969e91e9d8.htm
442,187,FloorType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/b6fd8c08-7eea-1ab4-b7ab-096778b46e8f.htm
443,187,LineProperties Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/baddd6a0-35a8-c547-2566-ae7846799856.htm
444,187,MassLevelData Class,Autodesk.Revit.DB.Analysis,RevitAPI,https://www.revitapidocs.com/2024/c1e62aaf-b7af-ad0c-60d5-4a1a9c1bed79.htm
445,187,Category Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/d390ecf6-e5db-d7c1-d7f2-766c0686e975.htm
446,187,CylindricalFace Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/e0450bb3-d974-9759-ea41-55c332cd9926.htm
447,187,Face Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/e32b3b1f-66fc-57cb-6e1c-aa81d1bf3e63.htm
448,187,IndependentTag Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/e52073e2-9d98-6fb5-eb43-288cf9ed2e28.htm
449,187,PlanarFace Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/e5f08848-bd35-4b17-ac7b-ae39fd817d6d.htm
450,186,RoofType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/00b5948e-1cb6-4f3b-acc1-9f000e8cc40d.htm
451,186,DimensionEqualityLabelFormatting Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/019b51cc-346a-5861-f093-669a7446c874.htm
452,186,ModelCurveNode Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/025d9b39-a253-8f5c-2988-664f089e8cab.htm
453,186,BuiltInFailures.SelectionFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/027c3831-3eae-0a5a-8512-e30773a37ee7.htm
454,186,FaceDetailNode Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/033c07e7-4883-4998-0b2b-3b24f5e2f821.htm
455,186,MultiReferenceAnnotationType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/046b4d91-40b3-4dd0-be1b-635fb30956c2.htm
456,186,BuiltInFailures.MultiReferenceAnnotationFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/04d6c5cb-ef10-4f90-1e7d-7b0c0cec396d.htm
457,186,CurveByPointsArray Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/05d7b8f5-e891-e58f-c1aa-3e0e5d96d19c.htm
458,186,SpotDimensionType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/06ffc197-308a-a350-6dd7-6f812e175bb6.htm
459,186,LayoutRuleClearSpacing Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/09ba6ef0-6c4d-904a-715a-33755540fd26.htm
460,186,ModelCurveArrArray Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/0db60df5-4ffd-457e-462d-f03517fa99bf.htm
461,186,WallPaint Class,Autodesk.Revit.DB.Visual,RevitAPI,https://www.revitapidocs.com/2024/0eec978d-2f3f-e02d-32c8-082434311042.htm
462,186,Connector Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/11e07082-b3f2-26a1-de79-16535f44716c.htm
463,186,WallSweepInfo Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/140876fa-4c17-ad27-8a12-a4bf755e06f3.htm
464,186,EdgeArrayArrayIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1457335d-14ea-97dd-e7ef-8b294b23119b.htm
465,186,Ceiling Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/14d7698a-ab61-2211-2315-3ae1434c582c.htm
466,186,ExportPatternInfo Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/17621c1b-5f57-2a25-6ff9-73dfc67d5024.htm
467,186,EnergyAnalysisDetailModelOptions Class,Autodesk.Revit.DB.Analysis,RevitAPI,https://www.revitapidocs.com/2024/18297392-d94a-cdab-feb3-81482771c44d.htm
468,186,BuiltInFailures.ExportFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/19402678-01cb-797a-d499-ce5dfef1a47b.htm
469,186,Line Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/e7329450-434a-918b-661c-65e15e0585a5.htm
470,186,CurveLoopsProfile Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/e841c265-7932-3a99-ea0d-a8865e21ca05.htm
471,186,DimensionSegmentArray Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/ea274891-53e6-efbe-6dec-fc2c32636ad2.htm
472,186,RoofComponents Class,Autodesk.Revit.DB.IFC,RevitAPIIFC,https://www.revitapidocs.com/2024/edd1717d-fe80-067c-d5f1-4d84c6a3573b.htm
473,186,ClipPlane Class,Autodesk.Revit.DB.DirectContext3D,RevitAPI,https://www.revitapidocs.com/2024/eebd15b6-2643-3d82-696b-59ee5618f11b.htm
474,186,WorksetConfiguration Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/eefef6f4-0892-4bb5-8840-5e99aebc65c9.htm
475,186,DetailCurveArray Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f01a6bd2-baaf-9551-d713-c08476153e55.htm
476,186,ModelCurve Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f15a85c2-3aee-9055-f9f8-9001b47fcefb.htm
477,186,SolidGlass Class,Autodesk.Revit.DB.Visual,RevitAPI,https://www.revitapidocs.com/2024/f21fb90a-9c1d-77eb-69c0-775582db84e7.htm
478,186,PointLocationOnCurve Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f2e008f9-e1d1-a8ff-6a28-f15e180bf85f.htm
479,186,CurveArrayIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f2e97568-6047-1822-7d49-ccd50de32dd4.htm
480,186,PolyLine Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f3de399b-5522-f96e-2589-70bfecc557a8.htm
481,186,CurveNode Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f46bbf24-04d0-a4c0-f694-adb30f3db8ea.htm
482,186,GridType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f53d7c74-a843-4bdb-b9d9-584b7abbf668.htm
483,186,LevelAssociationData Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f5cae466-48f8-7dfe-a9e4-4aede0db27a3.htm
484,186,BuiltInFailures.DatumPlaneFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f7f07977-c4b3-ba78-1260-540daed1e776.htm
485,186,SaveAsOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f8eecf56-8b25-4140-d66e-c87f0d664ee1.htm
486,186,FaceNode Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/fbd0d7af-ac40-e81e-8e06-8b2ce90be28b.htm
487,186,VectorAtPoint Class,Autodesk.Revit.DB.Analysis,RevitAPI,https://www.revitapidocs.com/2024/fcda8b78-e0a7-d99f-6e4e-e53e3e26fc8c.htm
488,186,AnalysisDisplayColoredSurfaceSettings Class,Autodesk.Revit.DB.Analysis,RevitAPI,https://www.revitapidocs.com/2024/fce3c08c-0ec4-4a73-6bbd-975f8b754012.htm
489,186,BuiltInFailures.LevelFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/fda0bd98-2636-3483-fb7e-de406b1bd252.htm
490,186,RebarUpdateCurvesData Class,Autodesk.Revit.DB.Structure,RevitAPI,https://www.revitapidocs.com/2024/ff847aea-8397-8b79-b039-16a72e479c9f.htm
491,186,LineAndTextAttrSymbol Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1a0a0d23-891b-bf92-6b2b-069704dea9be.htm
492,186,ScheduleHeightsOnSheet Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1af9b0b7-3949-6478-aea8-7e3d04bec24b.htm
493,186,ExportPatternTableIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1c08a52a-3648-fa5f-c4d2-d42177608496.htm
494,186,FamilySizeTable Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1c5cf128-6f7b-38e8-475e-62b73d412edf.htm
495,186,ColorOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1ca57d8c-b970-83b4-c5ce-9e39464e5cc2.htm
496,186,FamilyManager Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1cc4fe6c-0e9f-7439-0021-32d2e06f4c33.htm
497,186,ExternalDefinitionCreationOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1cd9e425-23a3-04f8-c130-4d4a799abd13.htm
498,186,FilterNumericRuleEvaluator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1f1a96bb-5f00-1a24-8c03-6984c88672b9.htm
499,186,PanelScheduleSheetInstance Class,Autodesk.Revit.DB.Electrical,RevitAPI,https://www.revitapidocs.com/2024/1fdb4d7e-ff99-78f7-8efa-87968f5defce.htm
500,186,Outline Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1ffe9215-0dd5-358f-495d-e983f9e7d295.htm
501,186,BuiltInFailures.PartMakerMethodForWallFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/205088f3-3d5f-d559-e777-3c94be4a806b.htm
502,186,FabricationSaveJobOptions Class,Autodesk.Revit.DB.Fabrication,RevitAPI,https://www.revitapidocs.com/2024/20934444-987d-1169-1619-2adb54377e7d.htm
503,186,ImagePlacementOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/20d793a0-4309-dac8-1e43-61d275237887.htm
504,186,CurveByPointsUtils Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/20dd9f72-4653-4ea8-6397-af04e5093fbe.htm
505,186,DetailCurve Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/21cd770e-fb1b-9fd9-b3a0-cdd6ba87df2b.htm
506,186,MultiReferenceAnnotation Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/2224ac33-d7c0-bda8-70de-0005023c2149.htm
507,186,ExternalResourceLoadContext Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/225225cb-6161-4681-34f9-1da4a6d50856.htm
508,186,BuiltInFailures.WallFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/22d82d7e-a7d6-c096-991c-728df0b2d61c.htm
509,186,ExternalFileReference Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/22f83514-5da8-bbf1-33e5-94e6212b53fe.htm
510,186,ExportLayerTableIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/24174426-8fd0-a24c-8ee0-1d32532e6f77.htm
511,186,FamilySizeTableColumn Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/2442ffe1-07cf-3c1d-c4c1-033eb3bd681e.htm
512,186,CurveLoopIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/27c948e0-c433-9ee9-04a5-4bbeed79062f.htm
513,186,ComponentRepeater Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/27dbc5bd-40e7-c044-11e6-7053adf92c6f.htm
514,186,BuildingEnvelopeAnalyzerOptions Class,Autodesk.Revit.DB.Analysis,RevitAPI,https://www.revitapidocs.com/2024/2a20b547-06bb-360c-c977-24466b56386a.htm
515,186,CurveUV Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/2d1d9c1f-afb6-fc09-f461-54cf0d511bf0.htm
516,186,EdgeEndPoint Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/3388e8f3-22d4-a411-a3da-450c16a31bc5.htm
517,186,FileExportingEventArgs Class,Autodesk.Revit.DB.Events,RevitAPI,https://www.revitapidocs.com/2024/33fecf48-ec69-4d54-8e73-4f8b6233a744.htm
518,186,DimensionSegment Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/36b254a0-3dc5-7bdc-d6b4-986e5d82ddbf.htm
519,186,SymbolicCurveArrayIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/3704a568-7aac-0b3a-ce43-d461d2ea845a.htm
520,186,IFCExtrusionCalculatorOptions Class,Autodesk.Revit.DB.IFC,RevitAPIIFC,https://www.revitapidocs.com/2024/3aa9bc3b-5ce0-e0ba-4211-9a08526c1c1b.htm
521,186,ClosestPointsPairBetweenTwoCurves Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/3af783ff-1aca-2c81-659d-edbaa72065d7.htm
522,186,IndexLine Class,Autodesk.Revit.DB.DirectContext3D,RevitAPI,https://www.revitapidocs.com/2024/3b22e25e-f934-3931-6f22-e451ffcc11b0.htm
523,186,IFCFileReadOptions Class,Autodesk.Revit.DB.IFC,RevitAPIIFC,https://www.revitapidocs.com/2024/3dc6542a-ed72-81a1-7cf8-8af17a6c2949.htm
524,186,FaceArrayIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/3dd2435e-3b12-8d38-279a-e6141de1b390.htm
525,186,ExportFontTableIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/3ecdd8b3-57ff-9ec7-8f48-d381414413de.htm
526,186,BuiltInFailures.LevelAssociationFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/3f214253-850a-b838-3bd5-2715056a4749.htm
527,186,LineLightShape Class,Autodesk.Revit.DB.Lighting,RevitAPI,https://www.revitapidocs.com/2024/3fce7f00-ae7a-04db-a6e8-dab9794bd6a7.htm
528,186,ReferencePointArrayIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/42641f66-dfb0-6c29-3913-78f41cdfc9c7.htm
529,186,ReferencePointArray Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/4780adea-9e68-b0b4-09c7-68f7752dd650.htm
530,186,BuiltInFailures.GridFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/48cf99c8-ce67-2506-5914-592a04f61c47.htm
531,186,DimensionSegmentArrayIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/493650c6-0c1f-2a56-7aeb-0d29d2ae3911.htm
532,186,Transform2D Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/49a13f08-08d7-95b1-d52e-65f90e6d4061.htm
533,186,BuiltInFailures.FamilyFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/4b2a4d9d-f77b-e466-e78a-df1ca741ec72.htm
534,186,SolidUtils Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/4c285bc6-c14e-9d55-5295-138764c01d12.htm
535,186,DetailCurveArrayIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/4ce2bcce-c98c-6efd-ab1e-761b1bc5bc31.htm
536,186,EdgeArrayIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/50ca2601-9cb4-d717-ac79-5796f85e1e76.htm
537,186,ModelLine Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/52b40d5e-8a43-0dd7-035b-ae9de12d024e.htm
538,186,CurveArray Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/55103aad-38fd-45d2-6bf7-67a5203e99f3.htm
539,186,LinearArray Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/58e47064-607e-d52b-5930-7e371851a678.htm
540,186,FamilySizeTableErrorInfo Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/5912d43c-de68-a783-d8dd-1526ef9edb02.htm
541,186,ReferenceArrayIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/5b4e4948-c5f0-1e38-d461-7353561774e8.htm
542,186,CurtainGrid Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/5e0d5b7c-aaa1-d299-6fb8-2faa65b1857a.htm
543,186,ValueParsingOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/5e3782ee-a1ed-593d-8180-37ebf36eda83.htm
544,186,DetailLine Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/5e6ee932-6034-e414-f7e2-3550c805d904.htm
545,186,BuiltInFailures.RoofFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/606c95ae-28f6-1529-2184-6dd4e9bedf20.htm
546,186,ExportLayerKey Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/64d77004-5c0c-9af2-cae4-39448bbaffe9.htm
547,186,AlignmentStationLabelOptions Class,Autodesk.Revit.DB.Infrastructure,Autodesk.CivilAlignments.DBApplication,https://www.revitapidocs.com/2024/65682466-07b4-766b-a215-fefcdcfd32ce.htm
548,186,MEPFamilyConnectorInfo Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/6870182d-9c09-59ec-5c74-e9472589527a.htm
549,186,ScheduleSheetInstance Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/68db8e46-90de-6b54-3dae-598957d94201.htm
550,186,BuiltInFailures.ExternalResourceReferenceFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/6a1188d0-3cae-0e69-3469-3d1cb7fa6e8d.htm
551,186,FaceSecondDerivatives Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/6a876769-1607-4cfa-87d0-2b679e9da6e1.htm
552,186,TessellatedFace Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/6b007c37-6c87-50c5-8cf3-c3c68aa130ae.htm
553,186,VoltageType Class,Autodesk.Revit.DB.Electrical,RevitAPI,https://www.revitapidocs.com/2024/6b462685-b825-f8f9-f218-035107f7aaf0.htm
554,186,HorizontalCurveEndpoint Class,Autodesk.Revit.DB.Infrastructure,Autodesk.CivilAlignments.DBApplication,https://www.revitapidocs.com/2024/6bb869f5-c44f-4b94-9a73-7fccdc5f47ef.htm
555,186,BuiltInFailures.LooseDimensionFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/6e39a26c-cf18-4aa3-9974-e173df435407.htm
556,186,AngularDimension Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/6f3b8d2e-904b-41cb-e57f-34fc8c1a0f4a.htm
557,186,EdgeArray Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7069d0a1-fc52-a347-e0d8-6de1f40797d3.htm
558,186,Rebar Class,Autodesk.Revit.DB.Structure,RevitAPI,https://www.revitapidocs.com/2024/70fd7426-f4a4-591c-8c06-3c18dda45e7d.htm
559,186,ExportUtils Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/712534c9-d62d-9f8d-fc7f-9348ca58affe.htm
560,186,Edge Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7155ef49-fcd9-c80a-6232-70189a617bcc.htm
561,186,RebarCurvesData Class,Autodesk.Revit.DB.Structure,RevitAPI,https://www.revitapidocs.com/2024/71996f44-c8f9-7695-ccb9-efae09726c9c.htm
562,186,Transform1D Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7366ab0c-173e-ff4b-fb56-4f307cf16bc9.htm
563,186,BuiltInFailures.RefPlaneFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/75323945-7d1e-9488-326d-438194aae8eb.htm
564,186,PropertyLine Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/780ace09-16a7-b622-d04d-05998be8eebb.htm
565,186,BuiltInFailures.FloorFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7db12ab0-596f-dff8-f834-bcfcb5c2df52.htm
566,186,FamilyType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7f15b213-c99b-db59-3622-3280757b82d9.htm
567,186,FaceSilhouetteNode Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7f6dab2d-6285-1027-9b4a-39d773002442.htm
