rank,score,title,namespace,assembly,url
270,191,ExportLineweightKey Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/5b3250ab-f70b-6f87-afbf-dd049a64c29e.htm
271,191,AreaLoad Class,Autodesk.Revit.DB.Structure,RevitAPI,https://www.revitapidocs.com/2024/5dc205a9-cafd-911b-6a56-26f2e8bfcdc1.htm
272,191,FaceEdgeNode Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/66e250b9-081a-5a9b-6045-d779f1876e3a.htm
273,191,ExportLineweightInfo Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/730cd713-bb8b-8a69-739e-d9bae8eb6fa5.htm
274,191,"ElementFilterIsAcceptableForParameterFilterElement Method (Document, ISet(ElementId), ElementFilter)",Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7439c67a-bd5b-d15f-28cc-b9cffe8ec8e8.htm
275,191,IFCTransformSetter Class,Autodesk.Revit.DB.IFC,RevitAPIIFC,https://www.revitapidocs.com/2024/75b9525d-3b8d-70d8-55de-a193b9eb5e76.htm
276,191,SolidOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/75d6caeb-62d1-d31f-47fe-618ac7cedf19.htm
277,191,EdgeArrayArray Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7f25fe6f-a427-7ac3-6753-2dec37fb058c.htm
278,191,ExportLinetypeKey Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/7f67a1c8-cc9b-9b17-aa87-664657ee9d7d.htm
279,191,CurveLoop Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/84824924-cb89-9e20-de6e-3461f429dfd6.htm
280,191,ExportLineweightTableIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/84d255f3-ffc6-5458-1655-f109db371045.htm
281,191,ExportLinetypeTableIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/901e037c-f870-f85f-8002-3223ff6c2061.htm
282,191,ValidateCurveLoopsOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/9a7cd776-fbdb-4df7-d06e-642bfbe1445d.htm
283,191,NavisworksExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/a58dbe71-1be7-dad6-51b6-5386c162cf87.htm
284,191,CADExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/a5d7698f-81cf-6536-1619-bb7c583e5f2b.htm
285,191,GBXMLExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/abb350ef-a773-7b70-6881-166e6f3c0a56.htm
286,191,ACADExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/acd35939-8664-f5aa-2287-3eedb8cfdafc.htm
287,191,SketchPlane Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/ba104029-d175-7e75-caef-667a4281f4af.htm
288,191,SATExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/c0b21f2b-3405-bfc9-2e22-6ff3a6d55c41.htm
289,191,ImageExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/c2e823a1-6eb0-2bf3-f07b-ed46d8f7b70a.htm
290,191,DirectShapeReferenceOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/c77da180-10dd-8e8a-d5d4-01cfc06135e5.htm
291,191,STLExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/c8870dfe-9259-4981-4545-a6c0d0440552.htm
292,191,FaceWall Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/cd76c5c4-4c8d-8101-5ebb-fa1ba4dcf9a1.htm
293,191,SunAndShadowSettings Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/d616614b-a2ed-b0d0-4f11-f0a0b54a22e5.htm
294,191,BaseExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/d88aaa04-8700-ede2-9a8c-c3ac0d71e68b.htm
295,191,IFCExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/db8ed2bb-8949-7a7f-e09a-29f6c9916f42.htm
296,191,FamilyPointPlacementReference Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/dc0c37e5-16e7-53eb-0b2c-b399c3230d77.htm
297,191,DGNExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/deca8dc2-439f-9567-9c60-70961b3f7c14.htm
298,191,PDFExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/e4236fc8-f8e7-fc74-1b81-9e3a4d9e966b.htm
299,190,OBJImportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/030954c6-4fe3-9ec0-6be0-0019609769d0.htm
300,190,BuiltInFailures.ImportExportFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/04e1dc26-35bd-e21a-3658-f5bc4cb9f354.htm
301,190,FamilyTypeSetIterator Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/0734d931-a9dc-6998-ce13-e5bce6f1a5b0.htm
302,190,STLImportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/0e42500a-7595-5a1b-27e5-23ef168d1ebf.htm
303,190,SlabEdgeType Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/0f6f73b4-26b9-044e-590c-ef65a1210db8.htm
304,190,AlignmentStationLabelSetOptions Class,Autodesk.Revit.DB.Infrastructure,Autodesk.CivilAlignments.DBApplication,https://www.revitapidocs.com/2024/15f4337d-738d-ec32-e7bc-4f2c569f4c59.htm
305,190,DeleteWorksetSettings Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/1952e14e-42d8-d672-0e72-d5fb1a83b73a.htm
306,190,GroupLoadOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f2a76350-d174-9cf5-df5e-2febcc265722.htm
307,190,SpotDimension Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/f3c633ac-1595-cb8d-5c1b-66eb3eefb433.htm
308,190,IFCImportOptions Class,Autodesk.Revit.DB.IFC,RevitAPI,https://www.revitapidocs.com/2024/f98f40e2-dbab-4b4c-7fcb-36df9b35cad5.htm
309,190,AXMImportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/fa5c85e0-25ea-cc04-2b97-48a3fa989cfc.htm
310,190,FBXExportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/faede206-7c81-c13d-b584-a49b56329941.htm
311,190,DWGImportOptions Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/fcba2c30-7e6d-9ab7-8378-f4c6d5de06bf.htm
312,190,RevitLinkGraphicsSettings Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/2673e53a-632b-327d-2bb3-b07fce16b81e.htm
313,190,AreaReinforcementCurve Class,Autodesk.Revit.DB.Structure,RevitAPI,https://www.revitapidocs.com/2024/27ce1b47-2fc2-447d-e995-8a6fd630b44b.htm
314,190,FilteredWorksetCollector Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/30e91d82-33a2-2561-db2a-28098a96b3ec.htm
315,190,AssetPropertyReference Class,Autodesk.Revit.DB.Visual,RevitAPI,https://www.revitapidocs.com/2024/349244aa-7a2c-0a9e-304e-d07c5597c0bd.htm
316,190,MEPHiddenLineSettings Class,Autodesk.Revit.DB.Mechanical,RevitAPI,https://www.revitapidocs.com/2024/36aa6fd1-8948-f89d-3206-8bba2c3db54c.htm
317,190,ExportDGNSettings Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/3df10700-a305-dba7-fc4a-5afb5387256c.htm
318,190,AreaBasedLoadBoundaryLineData Class,Autodesk.Revit.DB.Electrical,RevitAPI,https://www.revitapidocs.com/2024/52959c6a-9d31-222c-3133-e373047095a9.htm
319,190,LightFamily Class,Autodesk.Revit.DB.Lighting,RevitAPI,https://www.revitapidocs.com/2024/53ebee14-8d6f-28ac-f44e-1e7bd906c7d8.htm
320,190,BuiltInFailures.WallJoinFailures Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/575d7542-9a7a-e3c9-7f11-0cc040d74aac.htm
321,190,ExportPDFSettings Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/66156539-3f22-d986-ea46-49e772d1c451.htm
322,190,ImportOptions3DM Class,Autodesk.Revit.DB,RevitAPI,https://www.revitapidocs.com/2024/72310605-e939-bc8c-c790-642da4cc02cb.htm
